gene,log2fc,pvalue,adj_pvalue,sig_adj_lfc,sig_raw_lfc
CADM4,0.90125,1.0339141424412858e-05,0.14688818221663347,False,False
SHB,0.5475000000000001,0.0007207124486363252,0.4607138629253334,False,False
SCAMP4,-0.35374999999999984,0.000768921074856862,0.4607138629253334,False,False
ENO2,0.28,0.0008023589410124573,0.4607138629253334,False,False
RYBP,105.31749999999998,0.0008296967785026969,0.4607138629253334,False,True
GAGE1,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12B,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12C,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12D,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12E,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12F,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12G,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12H,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12I,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE12J,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE13,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE2A,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE2B,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE2C,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE2D,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE2E,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE3,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE4,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE5,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
GAGE6,0.6949999999999997,0.0008755736115284015,0.4607138629253334,False,False
